screening_id,pmid,year,journal,doi,_layer,biomaterial_category,specific_materials,fabrication_method,cell_type_used,cell_source,optical_transparency_reported,mechanical_testing_reported,biological_testing_reported,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,translational_readiness_level,benchmarking_relevance,main_outcomes,main_limitations,evidence_verification_level
PUBMED_1009,41218465,2026,Biomaterials advances,10.1016/j.bioadv.2025.214594,endothelium,synthetic hydrogel used as a tunable-stiffness mechanistic substrate (not intended as a final transplant scaffold in this study),"polyacrylamide hydrogels fabricated at three defined stiffnesses (25, 50, and 100 kPa) to simulate the mechanical properties of native Descemet's membrane",Polyacrylamide hydrogels cast at three controlled stiffness levels (25/50/100 kPa); human corneal endothelial (HCE) cells cultured on each stiffness variant to study mechanotransduction effects,human corneal endothelium (HCE) cells,human (cell source/donor detail not specified in abstract),unclear / not reported in abstract,yes,yes,yes,no,no,no,"early preclinical (in vitro, basic mechanistic/mechanobiology research)",medium,"Increasing polyacrylamide hydrogel stiffness (25 to 100 kPa, spanning the native Descemet's membrane range) promoted human corneal endothelial cell proliferation and glycolytic metabolism via YAP nuclear translocation, revealing a stiffness-dependent 'metabolic response-proliferation' feedback mechanism relevant to designing tissue-engineered corneal endothelium scaffolds with optimized mechanical microenvironments.","Purely mechanistic in vitro study using a simplified tunable-stiffness hydrogel, not a candidate transplantable scaffold itself; no ex vivo, animal, or clinical evaluation; no optical transparency data; findings would need validation in an actual biomaterial scaffold formulation intended for transplantation.",abstract_only
PUBMED_1084,38534529,2024,Bioengineering (Basel),10.3390/bioengineering11030255,endothelium,decellularized biological tissue carrier,"human anterior lens capsule, femtosecond-laser cut into 8 mm discs","femtosecond laser cutting of whole human lenses using a custom lens holder (8 mm cut diameter), followed by decellularization via water immersion (3 days)",corneal endothelial cells (CECs) seeded post-decellularization,human lens capsule as acellular carrier; CECs seeded to form tissue-engineered endothelial keratoplasty (TEEK) constructs,yes,partial,yes,yes,no,no,no,early preclinical (in vitro carrier fabrication and validation),high,"Femtosecond laser cutting produced standardized, reproducible transparent decellularized human lens capsule discs; complete decellularization after 3 days; discs supported corneal endothelial cell seeding with viable, marker-positive TEEK constructs for at least 27 days.",In vitro only in this paper (companion papers by the same group extend to animal TEEK models); mechanical properties not quantitatively benchmarked; still relies on human donor lens tissue.,abstract_plus_figures
PUBMED_0010,29040119,2018,Cornea,10.1097/ICO.0000000000001409,epithelium_limbus,biomaterial-free (carrier-free) cultured autologous oral mucosal epithelial cell sheet,"cultured oral mucosal epithelial cell sheets (COMECs), prepared in a culture system without any temperature-sensitive polymers or carriers","COMECs prepared in a carrier-free culture system (no temperature-sensitive polymers or scaffolds) and transplanted without suture fixation; prospective clinical trial (NCT02149732, IRB-approved at Seoul National University Hospital, approved by the Korean Ministry of Food and Drug Safety) in 8 subjects with total limbal stem cell deficiency (LSCD); 4 subjects underwent penetrating keratoplasty (PK) after COMEC stabilization; corneal cytokeratin (K) immunofluorescent staining performed in the 4 PK subjects; stable epithelialization, visual acuity change, and complications evaluated over 6 months",autologous oral mucosal epithelial cells,"human, autologous (patient's own oral mucosa)",no / not applicable (clinical study; no bench optical transmittance testing reported),no / not applicable (clinical study; no bench mechanical testing reported),yes,no,yes,no,yes,"clinical (prospective clinical trial, NCT02149732)",high,"A prospective clinical trial (NCT02149732, n=8 subjects) of carrier-free, biomaterial-free cultured oral mucosal epithelial cell sheets (COMECs) for total limbal stem cell deficiency achieved successful ocular surface reconstruction in 6 of 8 eyes, with complete stable epithelialization in a mean of 53.6 days, visual improvement (>=2 lines) in 62.5% of eyes, appropriate corneal (K12) and mucosal (K4/K13) phenotype marker expression after keratoplasty, and no infectious, neoplastic, or systemic complications over 6 months. The 2 treatment failures both occurred in eyes with full (4-quadrant) symblepharon, indicating a specific limitation for severe symblepharon cases.","Small sample size (n=8 subjects, 6 successful eyes); efficacy failed in eyes with full (4-quadrant) symblepharon; no comparator arm (e.g., against a carrier/scaffold-based COMET construct); near-absent K1/K8/K19 expression pattern not further mechanistically interpreted; no follow-up beyond 6 months reported.",abstract_only
PUBMED_0056,29691018,2018,Carbohydrate polymers,10.1016/j.carbpol.2018.03.033,epithelium_limbus,natural polysaccharide-protein blend membrane (carboxymethyl chitosan / gelatin / hyaluronic acid),"carboxymethyl chitosan (CMCTS), gelatin, and hyaluronic acid (HA) blended membrane","CMCTS, gelatin, and HA blended and cast into a membrane; primary rabbit corneal epithelial cells (CEpCs) seeded on the membrane to evaluate cytocompatibility, growth, and proliferation; CEpCs/CMCTS membrane construct used to treat alkali-induced corneal damage in rabbits, with healing evaluated via visual observation, slit lamp examination, hematoxylin-eosin staining, and immunofluorescence staining",primary rabbit corneal epithelial cells (CEpCs),"rabbit, primary",yes,unclear / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A transparent, biodegradable carboxymethyl chitosan/gelatin/hyaluronic acid blended membrane supported rabbit corneal epithelial cell (CEpC) attachment, proliferation, and maintenance of epithelial-cell-like protein expression in vitro. Combined with CEpCs and applied to alkali-induced corneal damage in rabbits, the construct significantly improved corneal epithelial reconstruction and restored corneal transparency and thickness, supporting this blend membrane as a candidate cell-transplantation carrier for corneal epithelial reconstruction and wound healing.","No numeric light-transmittance or mechanical (modulus) values reported; in vivo follow-up duration not specified numerically; rabbit model only, with no larger-animal or clinical evidence; sample sizes not given in the retrieved abstract.",abstract_only
PUBMED_0099,30279555,2018,Scientific reports,10.1038/s41598-018-32914-0,epithelium_limbus,"human amniotic membrane (HAM)-based scaffold, compared against substrate-free culture","human amniotic membrane (HAM) in two configurations -- HAM sutured onto transwell inserts (HAMTW) and HAM slide scaffold (HAMS) -- compared against substrate-free (transwell) culture; three culture media conditions tested, including a xeno-free medium with 5% human AB serum","limbal epithelial sheets cultured across three media conditions and three substrate conditions (transwell, HAMTW, HAMS); outgrowth sheet size from limbal explants, expression of stem/progenitor cell markers (p63alpha, ABCG2, CK15), and colony formation efficiency (CFE) measured; ABCG2 efflux activity measured via JC1 dye exclusion (JC1(low)); limbal epithelial sheets grown on HAMS transplanted into corneas of LSCD rabbit models; post-transplant p63alpha (basal layer) and CK12 (superficial layer) immunostaining performed","limbal epithelial cells, cultured as explant-derived sheets and transplanted into rabbit LSCD model corneas",not fully specified in the retrieved abstract beyond limbal-explant origin; recipient model is rabbit,no / not reported in abstract,no / not applicable in abstract,yes,yes,yes,yes,no,"preclinical (animal model, rabbit LSCD)",high,"A xeno-free medium supplemented with 5% human AB serum, combined with a human amniotic membrane slide scaffold (HAMS) format, produced the largest outgrowth sheet size, highest cell yield/Ki67 expression, and greatest stem/progenitor marker expression (p63alpha, ABCG2 efflux activity, CK15) and colony formation efficiency (CFE) compared with substrate-free (transwell) and HAM-on-transwell (HAMTW) conditions. Limbal epithelial sheets grown on HAMS, transplanted into rabbit LSCD model corneas, showed appropriate basal (p63alpha) and superficial (CK12) marker expression patterns, supporting HAMS with xeno-free 5% human AB serum medium as an optimized combination for cultivated limbal epithelial transplantation.","Follow-up duration and quantitative post-transplant functional outcomes (e.g., epithelialization rate, corneal transparency, visual outcome) are not given numerically in the retrieved abstract; CFE and marker expression differences are described comparatively rather than with specific numeric values; a rabbit model was used rather than a human/clinical cohort; findings not cross-validated against a non-xeno-free gold-standard protocol with matched quantitative statistics.",abstract_only
PUBMED_0104,30323996,2018,Translational vision science & technology,10.1167/tvst.7.5.23,epithelium_limbus,decellularized xenogeneic (murine) corneal ECM recellularized with genetically engineered hESC-derived corneal epithelial cells (a decellularized natural-tissue carrier rather than a synthetic/fabricated scaffold),decellularized murine corneas recellularized with human embryonic stem cell (hESC)-derived corneal epithelial cells (CEC); CRISPR/Cas9-mediated knockout of beta-2-microglobulin (B2M) used to generate hypoimmunogenic B2M(-/-) CEC,"hESCs differentiated to CEC using the serum-free, growth-factor-free, chemically defined medium E6 alone; global gene expression time-course analysis performed to confirm the differentiation trajectory closely resembles in vivo corneal development; decellularized murine corneas recellularized with hESC-derived CEC; CRISPR/Cas9 used to delete B2M in hESC, blocking assembly of HLA class-I antigens on the cell surface to generate B2M(-/-) CEC; B2M(-/-) CEC assessed in vitro (HLA class-I surface absence following inflammatory-factor stimulation) and in vivo via transplantation into mouse eyes (T-cell infiltration in the limbal region)","human embryonic stem cell (hESC)-derived corneal epithelial cells (CEC), including CRISPR/Cas9 B2M-knockout B2M(-/-) CEC",human (hESC-derived; genetically engineered via CRISPR/Cas9 B2M knockout),yes,no / not reported in abstract,yes,yes,yes,yes,no,"preclinical (animal model, mouse)",high,"A simple, protein-free protocol (chemically defined E6 medium alone) differentiated hESC to corneal epithelial cells (CEC) that closely recapitulated in vivo corneal developmental gene expression, formed a proliferative multilayer epithelium with intact tight junctions on decellularized murine cornea while retaining transparency and light transmittance. CRISPR/Cas9 knockout of B2M generated hypoimmunogenic B2M(-/-) CEC lacking surface HLA class-I expression, which caused less T-cell infiltration than wild-type controls after transplantation into mouse eyes -- supporting B2M(-/-) hESC-CEC as a potential unlimited, universal (HLA-type-independent) allogeneic cell source for corneal epithelial repair.","No specific numeric light-transmittance value or mechanical data reported; a murine (not primate/human) decellularized carrier and transplant recipient model was used; T-cell infiltration reduction is described qualitatively (""less"") without quantitative immune-cell counts; long-term graft survival and immune rejection risk beyond acute T-cell infiltration are not assessed; the hESC-derived (rather than adult stem cell-derived) cell origin raises separate regulatory/ethical translational considerations not addressed in the abstract.",abstract_only
PUBMED_0120,30548137,2019,Journal of biomedical materials research. Part A,10.1002/jbm.a.36589,epithelium_limbus,natural polysaccharide-based in situ self-crosslinking hydrogel (alginate-chitosan),"carboxymethyl chitosan crosslinked with sodium alginate dialdehyde (SAD, periodate-oxidized sodium alginate) via Schiff's base formation between aldehyde and amino groups; no exogenous chemical crosslinker used","SAD prepared by periodate-mediated oxidation of sodium alginate; carboxymethyl chitosan rapidly crosslinked with SAD via Schiff's base reaction, forming an in situ self-crosslinking hydrogel (ACH) directly on the wound surface; gelation time, transmittance, microscopic structure, equilibrium swelling, cytotoxicity, histocompatibility, and degradability characterized; rabbit primary LSCs encapsulated in the hydrogel and transplanted to alkali burn wounds in vivo; reconstruction evaluated by visual observation, slit lamp, histology, and immunofluorescence",rabbit primary limbal stem cells (LSCs),"rabbit, primary",yes,partial,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"A novel in situ self-crosslinking alginate-chitosan hydrogel (ACH), formed via Schiff base chemistry without exogenous crosslinkers, was highly transparent, rapidly gelling, biocompatible, and low-cytotoxicity. LSCs encapsulated in the hydrogel retained stem marker p63 expression in vitro without premature differentiation (CK3/CK12 negative) and, when applied to alkali burn corneal wounds in rabbits, significantly improved epithelial reconstruction, supporting ACH as a rapid, effective in situ LSC-delivery system for corneal wound healing.","No numeric mechanical (modulus) or transmittance values reported; follow-up duration not specified numerically; rabbit model only, with no clinical evidence; long-term hydrogel degradation/integration and functional visual outcomes not assessed.",abstract_only
PUBMED_0131,30716697,2019,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2019.01.054,epithelium_limbus,synthetic biodegradable polymer film functionalized with a natural ECM protein,poly-L/DL-lactic acid 70:30 (PLA) films functionalized with type IV collagen (col IV),PLA films cast/fabricated at a 70:30 L/DL ratio and surface-functionalized with type IV collagen; limbal epithelial cell suspensions isolated from human limbal rings and cultured on the films using animal-component-free medium,human corneal epithelial cells (initial biocompatibility test) and primary limbal epithelial stem cells (LESCs) isolated from human limbal rings,"human (primary, from limbal rings; animal-component-free culture medium)",unclear / not reported in abstract,unclear / not reported in abstract,yes,yes,no,no,no,"early preclinical (in vitro, primary human limbal cells, animal-component-free protocol)",medium,"PLA films functionalized with type IV collagen were biocompatible, promoted faster limbal epithelial cell attachment than tissue culture plastic, and helped maintain the undifferentiated LESC phenotype (via K15/P63alpha/ABCG2 marker expression), supporting PLA-col IV as an animal-component-free carrier substratum alternative for cultivated limbal epithelial transplantation.","In vitro only, no ex vivo, animal, or clinical transplantation evaluation reported; no optical transparency or mechanical property data in abstract; long-term stability/degradation of the PLA film not addressed.",abstract_only
PUBMED_0202,31545477,2019,Molecular medicine reports,10.3892/mmr.2019.10691,epithelium_limbus,cell-source characterization study; no defined fabricated biomaterial scaffold reported in the abstract,"human dental pulp stem cells (DPSCs) cultured in limbal stem cell (LSC)-specific media, compared against native limbal stem cells; generic reference to unspecified culture medium/scaffold conditions",DPSCs isolated and cultured in limbal stem cell media; morphology and culture pattern compared with LSCs grown under the same media; stem cell marker gene expression assessed by PCR; protein-level stem cell and corneal differentiation marker expression assessed by immunocytochemistry and western blot,"human dental pulp stem cells (DPSCs), compared against limbal stem cells (LSCs)",human (dental pulp-derived stem cells as the candidate alternative source; limbal stem cells as the comparator),no / not applicable (no scaffold optical characterization performed),no / not applicable in abstract,yes,yes,no,no,no,early preclinical (in vitro cell characterization only),medium,"Human dental pulp stem cells (DPSCs) cultured in limbal stem cell media showed morphology and culture patterns similar to native limbal stem cells; although transcript-level stem cell marker expression (PCR) was lower in DPSCs than LSCs, protein-level expression (immunocytochemistry, western blot) of stem cell and corneal differentiation markers was comparatively high in DPSCs, supporting their potential as an autologous or allogeneic alternative cell source for treating bilateral limbal stem cell deficiency where no residual native limbal stem cells are available.",Purely in vitro characterization with no in vivo/animal transplantation or functional corneal repair data; no defined scaffold/biomaterial architecture described; discrepancy between low transcript-level and higher protein-level marker expression not mechanistically explained; no quantitative optical or mechanical data (not applicable to this cell-characterization study); sample size and statistical detail not given in the retrieved abstract.,abstract_only
PUBMED_0240,31956817,2020,ACS omega,10.1021/acsomega.9b03297,epithelium_limbus,synthetic-natural composite polymer membrane (collagen + polycaprolactone),hierarchical collagen-polycaprolactone (Col-PCL) membrane: transparent collagen-only core with a mechanically robust collagen+PCL fixation edge,"chemical and thermal crosslinking of collagen with polycaprolactone (PCL) into a curved, hierarchical (core + edge) membrane structure designed to mimic native corneal geometry and withstand suture tension","not specified by species/type in abstract beyond generic 'cell adhesion, proliferation, and migration' testing (epithelial wound-coverage assay implies corneal epithelial-type cells)",not specified in abstract,yes,yes,yes,yes,no,no,no,early preclinical (in vitro),high,"A hierarchical Col-PCL corneal graft membrane (transparent collagen core + mechanically reinforced Col-PCL edge) achieved near-native water adsorption (>80%), high swelling capacity (>400%), and markedly improved tensile strength (1.1 MPa) versus pure collagen or pure PCL membranes, while supporting cell adhesion/proliferation and rapid (<5 day) epithelial wound coverage in vitro -- directly addressing the clinical problem of suture-related tension failure in partial-thickness corneal grafts.","In vitro only, no ex vivo, animal, or clinical evaluation; cell type/species used for the adhesion/migration/wound-coverage assays not specified in abstract; long-term degradation/biocompatibility in vivo not assessed.",abstract_only
PUBMED_0241,31988856,2020,BioImpacts : BI,10.15171/bi.2020.06,epithelium_limbus,synthetic/natural polymer blend electrospun nanofibrous scaffold (polycaprolactone vs. polycaprolactone/gelatin),electrospun polycaprolactone (PCL) nanofibers and PCL/gelatin (PCL/Gel) blend nanofibers at mass ratios 70:30 and 50:50,"PCL and PCL/Gel nanofibrous scaffolds fabricated by electrospinning at two mass ratios (70:30, 50:50); human LESCs cultured on each scaffold to assess proliferation and attachment; scaffolds evaluated in an animal model of alkaline corneal injury for epithelial regeneration, ease of use, vascularization/inflammation, and final corneal transparency",human limbal epithelial stem cells (LESCs),"human, primary",yes,unclear / not reported in abstract,yes,yes,no,yes,no,preclinical (animal model),high,"Comparing electrospun PCL and PCL/gelatin nanofibrous scaffolds for LESC transplantation, PCL alone outperformed PCL/Gel for cell adherence, epithelial morphology, and proliferation; in an animal alkaline-injury model, epithelial regeneration was similar between groups, but PCL showed significantly lower vascularization and inflammation than PCL/Gel, indicating PCL alone as the preferred carrier for LESC-based corneal cell therapy.","No numeric mechanical or transmittance data reported; the mechanism behind PCL/Gel's higher inflammation/vascularization is not elucidated; animal model only, with no clinical evidence; sample sizes not specified in the abstract.",abstract_only
PUBMED_0300,32572811,2020,Tissue engineering and regenerative medicine,10.1007/s13770-020-00273-5,epithelium_limbus,"cell-source alternative (peripheral blood-derived mesenchymal-like cells) engineered into a cell sheet using a thermo-responsive polymer carrier, not a permanent scaffold",rabbit peripheral blood-derived mononuclear cells (PBMNCs) differentiated to corneal epithelial lineage; in-house developed thermo-responsive polymer used to fabricate a transferable cell sheet,"rabbit PBMNCs isolated via density gradient centrifugation; evaluated for mesenchymal stem cell-like properties/stemness; differentiated to corneal epithelial lineage using rabbit limbal explant conditioned media, confirmed via immunocytochemistry and gene expression (CK3/12); differentiated PBMNCs engineered into a cell sheet using an in-house thermo-responsive polymer; cell sheet transfer demonstrated on an ex vivo excised rabbit eye","peripheral blood-derived mononuclear cells (PBMNCs), differentiated toward corneal epithelial lineage","rabbit, autologous/peripheral-blood-derived (minimally invasive collection)",no / not reported in abstract,no / not applicable in abstract,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo feasibility),medium,"Rabbit peripheral blood-derived mononuclear cells (PBMNCs), an easily and minimally invasively collected alternative to limbal stem cells, showed mesenchymal stem cell-like properties and were successfully differentiated to a corneal epithelial lineage (CK3/12-positive) using limbal explant conditioned media; the differentiated cells were engineered into a transferable cell sheet using a thermo-responsive polymer and successfully transferred onto an ex vivo excised rabbit eye, supporting PBMNCs as a feasible autologous alternative cell source for corneal epithelial reconstruction, particularly relevant for bilateral LSCD patients.",Purely in vitro/ex vivo feasibility study with no in vivo (live animal) transplantation or long-term functional/clinical evaluation; no optical or mechanical characterization of the cell sheet reported; sample sizes not specified in the abstract.,abstract_only
PUBMED_0320,32781567,2020,Polymers,10.3390/polym12081758,epithelium_limbus,synthetic electrospun polymer scaffold with antimicrobial functionalization,"electrospun poly(epsilon-caprolactone) (PCL) scaffolds functionalized with either cefuroxime (CF, antibiotic) or titanium dioxide (TiO2) nanoparticles","PCL/CF scaffolds prepared by blend electrospinning; PCL/TiO2 scaffolds functionalized by ultrasonic post-processing treatment; characterized via SEM, water contact angle, tensile testing, dynamic mechanical analysis (DMA), antimicrobial assays, and UV-Vis spectroscopy for drug release",human limbal stem cells,human (isolated from surgical remains of human cadaveric cornea),unclear / not reported in abstract,yes,yes,yes,no,no,no,"early preclinical (in vitro, primary human limbal cells)",medium,"Electrospun PCL scaffolds functionalized with cefuroxime or TiO2 successfully supported adhesion, proliferation, and differentiation (p63+/CK3+) of human limbal stem cells while providing antimicrobial activity against common ocular pathogens (P. aeruginosa, S. aureus, C. albicans), addressing the postoperative infection risk associated with conventional amniotic membrane or fibrin gel LSC carriers.","In vitro only, no ex vivo, animal, or clinical evaluation; no optical transparency data reported; drug-release kinetics and long-term antimicrobial durability beyond the reported assays not detailed in abstract.",abstract_only
PUBMED_0359,33210832,2021,Journal of tissue engineering and regenerative medicine,10.1002/term.3159,epithelium_limbus,stimuli-responsive synthetic polymer coating for cell-sheet harvest (not an implanted scaffold itself),synthesized carboxymethyl cellulose-dopamine (CMC-DA) coating used as a cell-culture substrate; cellulase enzyme used to harvest intact HCLE cell sheets from the coating,CMC-DA synthesized and pretreated onto culture plate surfaces; human corneal limbal epithelial (HCLE) cells cultured on CMC-DA-coated plates; confluent cell sheets harvested intact via cellulase-mediated enzymatic digestion of the CMC coating (scaffold-free cell-sheet approach); harvested sheets transplanted directly (no permanent carrier),human corneal limbal epithelial (HCLE) cells,human (primary corneal limbal epithelial cells),yes,unclear / not reported in abstract,yes,yes,no,yes,no,"preclinical (animal model, rabbit)",high,"CMC-DA-coated substrates combined with cellulase-mediated harvest produced intact, transparent HCLE cell sheets (15-19 mm) retaining limbal stem cell (p63, CK15) and corneal epithelial (CK12, CK3/2p) marker expression and barrier protein ZO-1; transplantation into a rabbit LSCD model over 2 weeks improved corneal opacity and neovascularization scores, with grafted tissue retaining p63/CK12 positivity, supporting this as a safe, efficient scaffold-free strategy for corneal epithelial regeneration.","Rabbit (not primate/human) in vivo model; relatively short (2-week) follow-up; scaffold-free cell-sheet approach depends on successful intact harvest, a technically demanding step; no quantitative transparency or mechanical data reported in abstract.",abstract_only
PUBMED_0392,33586332,2021,"Small (Weinheim an der Bergstrasse, Germany)",10.1002/smll.202003937,epithelium_limbus,bacterial-derived natural nanocellulose scaffold,"bacterial nanocellulose (BNC), surface-functionalized via plasma activation followed by Collagen IV and Laminin coating","BNC substrates produced (bacterial-derived, animal-free origin), surface-activated by plasma treatment, then coated with human extracellular matrix proteins (Collagen IV and Laminin) to enhance cell-biomaterial interaction; human embryonic stem cell-derived limbal stem cells (hESC-LSC) seeded onto functionalized BNC",human embryonic stem cell-derived limbal stem cells (hESC-LSC),human (embryonic stem cell-derived),yes,partial,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo simulated transplantation),medium,"ECM-protein-functionalized bacterial nanocellulose (BNC) supported attachment, survival, and long-term (21-day) retention of self-renewal/stemness characteristics of hESC-derived limbal stem cells while preserving the material's flexible, robust, semi-transparent properties, and performed successfully in a preliminary ex vivo simulated transplantation test -- positioning BNC as a promising animal-free carrier candidate for LSC-based ocular surface therapies.","No live animal in vivo or human clinical evaluation, only in vitro culture plus a preliminary ex vivo simulated transplantation test; hESC-derived (not primary donor) LSC source raises separate translational/regulatory considerations; no quantitative transparency or mechanical values reported in abstract.",abstract_only
PUBMED_0447,34302219,2021,Cell and tissue research,10.1007/s00441-021-03507-7,epithelium_limbus,"biomaterial-free (carrier-free) clinical-grade cultured autologous oral mucosal epithelial cell sheet (cG-CAOMECS), grown on a temporary cGMP-certified culture surface rather than a permanent scaffold",rabbit buccal oral mucosal epithelial cells cultured on a cGMP-certified cell culture surface coated with GMP-grade extracellular matrix; clinical-grade KaFa(TM) medium used for expansion; collagenase used for cell-sheet detachment/harvest,"oral mucosal epithelial cells isolated from rabbit buccal biopsy; seeded on a cGMP-certified culture surface coated with GMP-grade ECM; expanded in a chemically defined, clinical-grade KaFa(TM) medium; cell sheet detached/harvested via collagenase treatment; live cell imaging and morphological analysis used to monitor growth; immunostaining and western blot performed for deltaNp63, K3/K12, E-cadherin, beta-catenin, Cnx43, and integrin-beta1/beta4","rabbit oral mucosal epithelial cells (autologous, buccal biopsy-derived)","rabbit, autologous (buccal biopsy)",no / not reported in abstract,no / not applicable in abstract,yes,yes,no,no,no,"early preclinical (in vitro manufacturing proof-of-concept, designed for future clinical translation)",medium,"A clinical-grade, GMP-compliant, chemically defined process (cG-CAOMECS) successfully produced a rabbit carrier-free multilayered oral mucosal epithelial cell sheet with corneal epithelial-like marker expression (deltaNp63 basal, K3/K12 apical) and preserved epithelial integrity (E-cadherin, beta-catenin, Cnx43) after collagenase harvesting, within a 17-19 day manufacturing timeline -- establishing a rabbit proof-of-concept manufacturing protocol intended to translate to FDA-compliant clinical-grade human CAOMECS production for bilateral limbal stem cell deficiency.","Rabbit (not human) proof-of-concept only, with no in vivo transplantation or functional/clinical outcome data in this abstract; no optical or mechanical characterization reported; scalability and batch-to-batch consistency of the clinical-grade process are not addressed.",abstract_only
PUBMED_0450,34330126,2021,Biofabrication,10.1088/1758-5090/ac1992,epithelium_limbus,bioprinted dual extracellular-matrix-mimetic hydrogel scaffolds (GelMA and HAGM),gelatin methacrylate (GelMA) and hyaluronic acid glycidyl methacrylate (HAGM) photocrosslinkable hydrogels,digital light processing (DLP)-based bioprinting used to fabricate microscale hydrogel scaffolds from GelMA or HAGM encapsulating primary limbal stem/progenitor cells (LSCs); primary rabbit LSCs (rbLSCs) and primary human LSCs encapsulated and cultured; LSC phenotype (active vs. quiescent) assessed via immunocytochemistry and transcriptional analysis in each ECM scaffold type,primary limbal stem/progenitor cells (LSCs) -- rabbit (rbLSCs) and human,rabbit (primary) and human (primary),unclear / not reported in abstract,unclear / not reported in abstract,yes,yes,no,no,no,early preclinical (in vitro only),high,"DLP-based bioprinting of GelMA and HAGM hydrogel scaffolds enabled high-throughput, microscale fabrication of ECM-mimetic constructs encapsulating primary LSCs; GelMA-based scaffolds maintained LSCs in an active/proliferative state while HAGM-based scaffolds induced quiescence, consistently across rabbit and human LSCs, establishing a novel bioprinted dual-ECM 'Yin-Yang' model that can support both active and quiescent LSC states -- providing a platform to study and potentially control LSC stemness/quiescence for regenerative therapy.","No optical transparency or mechanical (modulus) data reported; purely in vitro, with no ex vivo or in vivo/animal transplantation evaluation; the functional/therapeutic consequence of maintaining LSCs in active vs. quiescent states in vivo is not addressed in the abstract; sample sizes not specified.",abstract_only
PUBMED_0477,34620226,2021,Stem cell research & therapy,10.1186/s13287-021-02564-7,epithelium_limbus,not a biomaterial scaffold study -- cultivated autologous oral mucosal epithelial cell-sheet therapy (COMET) using an animal product-free suspension-culture protocol,not applicable (no synthetic/biologic scaffold material used); collagenase-based spheroidal suspension culture technique for generating oral mucosal epithelial cell sheets,"collagenase-based, animal product-free protocol for cultivating oral mucosal epithelial cell sheets (COMET) via spheroidal suspension culture, previously reported by the same group; used here for two clinical transplantation cases",autologous oral mucosal epithelial cells (OMECs),"human (autologous, patient's own oral mucosa)",yes,unclear / not reported in abstract,yes,no,no,no,yes,"clinical (first-in-human, long-term case follow-up)",high,"Long-term (34-month and 4-year) follow-up of two human clinical cases treated with an animal product-free, collagenase-based COMET protocol showed sustained corneal clarity, reduced neovascularization, resolution of symblepharon (Case 1), and biopsy-confirmed maintenance of a stratified, keratin- and p63/p75NTR-positive epithelial phenotype (Case 2), supporting long-term survival and clinical viability of transplanted oral mucosal epithelial cell sheets for severe ocular surface disease.","Extremely small sample (n=2 case reports), not a controlled trial; Case 2 required subsequent corneal transplantation, indicating COMET alone was not curative in that case; long-term outcomes beyond the reported follow-up windows unknown; registered post hoc on ClinicalTrials.gov (NCT03943797), consistent with a retrospective case report design.",abstract_only
PUBMED_0485,34684011,2021,Pharmaceutics,10.3390/pharmaceutics13101718,epithelium_limbus,"decellularized xenogeneic (porcine) corneal limbus extracellular matrix scaffold, recellularized with two different cell types","decellularized full-thickness and half-thickness porcine corneal limbus (four decellularization protocols tested, including 0.1% SDS); recellularized with the limbal epithelial cell line SIRC or human adipose-derived mesenchymal stem cells (hADSCs)","four decellularization protocols applied to full-thickness and half-thickness porcine limbus; decellularization efficiency and ECM preservation (transparency, composition) compared; best-performing protocol (0.1% SDS on half-thickness limbus) selected; decellularized limbi recellularized with SIRC cell line or hADSCs; stratified epithelium formation assessed via limbal marker expression (p63, pancytokeratin, crystallin Z) at day 7 (SIRC) and days 14-21 (hADSCs); laminin and collagen IV basal lamina expression assessed at days 14 and 21; picrosirius red and alcian blue staining used to compare recellularized tissue with native control limbi",limbal epithelial cell line (SIRC) and human adipose-derived mesenchymal stem cells (hADSCs),"SIRC is an established rabbit corneal epithelial cell line; hADSCs are human, adipose-derived (autologous/allogeneic status not specified in abstract)",yes,no / not reported in abstract,yes,yes,yes,no,no,early preclinical (in vitro / ex vivo),high,"Among four decellularization protocols tested on porcine corneal limbus, 0.1% SDS applied to half-thickness tissue best preserved transparency and ECM composition; recellularization with either the SIRC cell line (faster, by day 7) or human adipose-derived mesenchymal stem cells (slower, 14-21 days) generated a stratified epithelium expressing limbal markers (p63, pancytokeratin, crystallin Z) and appropriate basal lamina proteins (laminin, collagen IV), with staining characteristics resembling native limbus -- supporting decellularized porcine limbus as a promising biomimetic scaffold for limbal substitute generation using either a cell line or an easily accessible autologous-type stem cell source (hADSCs).","Preliminary/proof-of-concept study with no in vivo or clinical evaluation; no numeric transmittance or mechanical data reported; xenogeneic (porcine) scaffold source raises immunogenicity considerations not addressed in the abstract; SIRC is an immortalized cell line rather than primary human limbal cells, limiting direct clinical translatability of that arm.",abstract_only
